Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
PNCK	CaMK1b, MGC45419	ENSG00000130822	Pregnancy up-regulated nonubiquitous CaM kinase	X	152935185-152954465	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA007458	Uncertain	Uncertain	Plasma membrane, Cytoplasm, Golgi apparatus	Tissue enhanced	0	cerebral cortex: 27.9	smooth muscle: 22.8
PNMA6A	MGC15827	ENSG00000224201	Paraneoplastic Ma antigen family member 6A	X	152240839-152340864		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045007, HPA052115	Uncertain			Tissue enhanced	0	cerebral cortex: 3.0;kidney: 3.4	liver: 1.6
PNMA6B		ENSG00000203902	Paraneoplastic Ma antigen family member 6B (pseudogene)	X	152341458-152343394		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045007, HPA052115	Uncertain			Tissue enhanced	0	cerebral cortex: 1.9;kidney: 2.5	liver: 1.0
PNMA6C		ENSG00000235961	Paraneoplastic Ma antigen family member 6C	X	152240819-152243399		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045007, HPA052115	Uncertain			Tissue enhanced	0	cerebral cortex: 5.3	kidney: 3.1
PNMA6D		ENSG00000257088	Paraneoplastic Ma antigen family member 6D (pseudogene)	X	152243996-152245978		Evidence at transcript level	Evidence at transcript level	No evidence		HPA045007, HPA052115	Uncertain			Tissue enhanced	0	cerebral cortex: 3.7;kidney: 2.4	liver: 1.3
PNMAL1	FLJ10781, KIAA1183L	ENSG00000182013	Paraneoplastic Ma antigen family-like 1	19	46969748-46974820	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012956	Uncertain	Uncertain	Nucleus, Cytoplasm	Tissue enhanced	0	cerebral cortex: 71.6	testis: 26.4
PNMAL2	KIAA1183	ENSG00000204851	Paraneoplastic Ma antigen family-like 2	19	46990163-46999755	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA043108	Uncertain			Tissue enhanced	0	adrenal gland: 7.9;cerebral cortex: 16.3	ovary: 3.2
PNOC	PPNOC	ENSG00000168081	Prepronociceptin	8	28174503-28200872	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA044507	Uncertain			Tissue enhanced	0	cerebral cortex: 22.6;lymph node: 22.0;tonsil: 25.0	fallopian tube: 17.1
PODXL2	endoglycan, PODLX2	ENSG00000114631	Podocalyxin-like 2	3	127348024-127391652	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB024934, HPA042265	Uncertain	Uncertain	Golgi apparatus, Vesicles	Tissue enhanced	0	cerebral cortex: 36.5	testis: 22.5
POU3F4	BRN4, DFN3, DFNX2, OTF9	ENSG00000196767	POU class 3 homeobox 4	X	82763269-82764775	Disease related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA031984	Uncertain			Tissue enhanced	0	cerebral cortex: 4.0	kidney: 0.9
POU6F2	RPF-1	ENSG00000106536	POU class 6 homeobox 2	7	39017598-39532694	Disease related genes, Predicted secreted proteins, Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA008699	Uncertain			Tissue enhanced	0	cerebral cortex: 2.4;pancreas: 2.7	placenta: 1.6
PPFIA2		ENSG00000139220	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	12	81652045-82153332	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040724	Uncertain			Tissue enhanced	0	cerebral cortex: 37.6	testis: 10.4
PPFIA4		ENSG00000143847	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	1	202995626-203047868	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA053419, HPA054132	Supportive	Supportive	Nucleus, Nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 16.4;heart muscle: 20.1	skeletal muscle: 10.7
PPM1E	CaMKP-N, KIAA1072, POPX1, PP2CH	ENSG00000175175	Protein phosphatase, Mg2+/Mn2+ dependent, 1E	17	56833230-57058983	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018462, HPA019263	Uncertain	Supportive	Nucleoli, Nucleus	Tissue enhanced	0	cerebral cortex: 10.3;testis: 9.2	adrenal gland: 4.3
PPP2R2B	PR52B, PR55-BETA, SCA12	ENSG00000156475	Protein phosphatase 2, regulatory subunit B, beta	5	145967936-146464347	Cytoskeleton related proteins, Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038118, HPA042122, HPA042770	Uncertain			Tissue enhanced	0	cerebral cortex: 87.8;fallopian tube: 43.5	testis: 23.1
PPP2R2C	IMYPNO, MGC33570, PR52, PR55G	ENSG00000074211	Protein phosphatase 2, regulatory subunit B, gamma	4	6322305-6565327	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042122, HPA042770	Uncertain			Tissue enhanced	0	cerebral cortex: 83.3	endometrium: 32.7
PRKCB	PKCB, PRKCB1, PRKCB2	ENSG00000166501	Protein kinase C, beta	16	23847322-24231932	Cancer-related genes, Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB003843, HPA048321	Uncertain			Tissue enhanced	0	cerebral cortex: 71.9	lymph node: 62.3
PROKR2	dJ680N4.3, GPR73b, GPR73L1, GPRg2, KAL3, PKR2	ENSG00000101292	Prokineticin receptor 2	20	5282317-5297378	Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA047281	Uncertain			Tissue enhanced	0	cerebral cortex: 1.6	bone marrow: 0.5
PRR7	MGC10772	ENSG00000131188	Proline rich 7 (synaptic)	5	176873446-176883283		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046636	Uncertain	Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoplasm	Tissue enhanced	0	cerebral cortex: 3.0	bone marrow: 1.4
PRRG3	TMG3	ENSG00000130032	Proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	X	150863596-150874396	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060566	Uncertain			Tissue enhanced	0	cerebral cortex: 4.3	ovary: 1.9
PRRT2	DKFZp547J199, FLJ25513, IFITMD1	ENSG00000167371	Proline-rich transmembrane protein 2	16	29823177-29827201	Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014447	Uncertain			Tissue enhanced	0	cerebral cortex: 42.2	ovary: 34.7
PRRT3	FLJ33674	ENSG00000163704	Proline-rich transmembrane protein 3	3	9987226-9994078	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA035127, HPA035128	Uncertain	Uncertain	Plasma membrane, Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	cerebral cortex: 10.1;fallopian tube: 8.9	prostate: 2.8
PSD	KIAA2011, PSD1, TYL	ENSG00000059915	Pleckstrin and Sec7 domain containing	10	104162376-104181296	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA059237	Uncertain			Tissue enhanced	0	cerebral cortex: 56.3	endometrium: 32.1
PSD3	DKFZp761K1423, EFA6R, HCA67, KIAA0942	ENSG00000156011	Pleckstrin and Sec7 domain containing 3	8	18384811-18942240	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 51.2;testis: 53.3	heart muscle: 24.2
PSRC1	DDA3	ENSG00000134222	Proline/serine-rich coiled-coil 1	1	109822178-109825808	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA049315, HPA056561	Uncertain	Supportive	Cytoplasm	Tissue enhanced	0	cerebral cortex: 20.1	testis: 10.3
PTCHD1	FLJ30296	ENSG00000165186	Patched domain containing 1	X	23352133-23422489	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046110	Uncertain			Tissue enhanced	0	cerebral cortex: 2.8	endometrium: 1.7
PTPRD	HPTP, PTPD	ENSG00000153707	Protein tyrosine phosphatase, receptor type, D	9	8314246-10612723	Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB026474	Uncertain			Tissue enhanced	0	cerebral cortex: 41.9	ovary: 31.0
PTPRR	EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ	ENSG00000153233	Protein tyrosine phosphatase, receptor type, R	12	71031853-71314623	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB011461, HPA011851	Supportive			Tissue enhanced	0	cerebral cortex: 14.5	colon: 9.9
PURG	PURG-A, PURG-B	ENSG00000172733	Purine-rich element binding protein G	8	30853321-30891231	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA047746	Uncertain			Tissue enhanced	0	cerebral cortex: 3.0;testis: 2.8	endometrium: 1.5
RAB33A	RabS10	ENSG00000134594	RAB33A, member RAS oncogene family	X	129305623-129318844	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA059737	Uncertain			Tissue enhanced	0	cerebral cortex: 16.8	tonsil: 9.4
RAB39B		ENSG00000155961	RAB39B, member RAS oncogene family	X	154487526-154493874	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001114, HPA042505	Uncertain			Tissue enhanced	0	cerebral cortex: 11.6	tonsil: 5.9
RAB3C		ENSG00000152932	RAB3C, member RAS oncogene family	5	57878048-58155213	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA003160, HPA048156	Supportive	Uncertain	Cytoplasm	Tissue enhanced	0	cerebral cortex: 36.0	adrenal gland: 14.0
RANBP3L	FLJ25422	ENSG00000164188	RAN binding protein 3-like	5	36248536-36302216		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA037471, HPA037472, HPA061526	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 18.0;kidney: 19.4	prostate: 11.1
RAPGEF4	cAMP-GEFII, CGEF2	ENSG00000091428	Rap guanine nucleotide exchange factor (GEF) 4	2	173600002-173917621	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004388, HPA028968	Uncertain			Tissue enhanced	0	adrenal gland: 59.2;cerebral cortex: 70.4	liver: 18.5
RASGEF1A	CG4853, FLJ37817	ENSG00000198915	RasGEF domain family, member 1A	10	43689983-43762367		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA035593	Supportive	Uncertain	Golgi apparatus	Tissue enhanced	0	cerebral cortex: 12.4	bone marrow: 4.7
RASGEF1C	FLJ35841	ENSG00000146090	RasGEF domain family, member 1C	5	179527795-179636153		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA028242	Supportive			Tissue enhanced	0	cerebral cortex: 10.7;testis: 6.4	salivary gland: 1.9
RCOR2		ENSG00000167771	REST corepressor 2	11	63678693-63684316	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021638	Uncertain			Tissue enhanced	0	cerebral cortex: 6.9	testis: 2.7
REEP2	C5orf19, SGC32445	ENSG00000132563	Receptor accessory protein 2	5	137774706-137782658	Disease related genes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA031813	Uncertain			Tissue enhanced	0	cerebral cortex: 48.1	smooth muscle: 12.0
RESP18		ENSG00000182698	Regulated endocrine-specific protein 18	2	220192131-220197899		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045849	Uncertain			Tissue enhanced	0	cerebral cortex: 1.0	testis: 0.5
RFTN2	C2orf11, FLJ30574, Raftlin-2	ENSG00000162944	Raftlin family member 2	2	198432948-198540769	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA035232	Uncertain			Tissue enhanced	0	cerebral cortex: 23.5	ovary: 9.9
RGS20	RGSZ1, ZGAP1	ENSG00000147509	Regulator of G-protein signaling 20	8	54764368-54871863	Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 9.6	thyroid gland: 2.6
RGS4	SCZD9	ENSG00000117152	Regulator of G-protein signaling 4	1	163038565-163046592	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA030802	Uncertain			Tissue enhanced	0	cerebral cortex: 150.0	adrenal gland: 42.8
RGS6		ENSG00000182732	Regulator of G-protein signaling 6	14	72399156-73030654	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003067	Uncertain			Tissue enhanced	0	cerebral cortex: 11.2;heart muscle: 10.4;testis: 10.2	adipose tissue: 4.0
RGS7		ENSG00000182901	Regulator of G-protein signaling 7	1	240931554-241520530	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000688, CAB017561	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	adrenal gland: 9.1;cerebral cortex: 30.4	testis: 5.1
RGS7BP	R7BP	ENSG00000186479	Regulator of G-protein signaling 7 binding protein	5	63802084-63908139	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA039600	Uncertain			Tissue enhanced	0	cerebral cortex: 28.7	fallopian tube: 10.4
RGS8	MGC119067, MGC119068, MGC119069	ENSG00000135824	Regulator of G-protein signaling 8	1	182615239-182653711	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enhanced	0	cerebral cortex: 3.2;testis: 2.4;thyroid gland: 3.4	adrenal gland: 0.9
RHBDL3	RHBDL4, VRHO	ENSG00000141314	Rhomboid, veinlet-like 3 (Drosophila)	17	30593195-30651680	Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA059607	Uncertain			Tissue enhanced	0	cerebral cortex: 11.2	adrenal gland: 3.8
RIMBP2	KIAA0318, MGC15831, RBP2, RIM-BP2	ENSG00000060709	RIMS binding protein 2	12	130880682-131200826	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041494, HPA044114	Uncertain	Uncertain	Nucleus, Golgi apparatus	Tissue enhanced	0	adrenal gland: 11.8;cerebral cortex: 17.5	fallopian tube: 7.0
RIMKLA	FAM80A, MGC47816, NAAGS-II, RP11-157D18.1	ENSG00000177181	Ribosomal modification protein rimK-like family member A	1	42846466-42888249	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA027826	Uncertain	Uncertain	Nucleoli	Tissue enhanced	0	cerebral cortex: 6.3	rectum: 3.4
